Team,Year,Season,Sport,Event,Medal
West Germany,1984,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
Germany,2016,Summer,Hockey,Hockey Women's Hockey,Bronze
Austria,1912,Summer,Tennis,Tennis Men's Doubles,Silver
"Marinai della nave da guerra ""Varese""",1906,Summer,Rowing,Rowing Men's 17-Man Naval Rowing Boats,Bronze
Italy,1992,Summer,Judo,Judo Women's Middleweight,Silver
Italy,2000,Summer,Judo,Judo Women's Half-Heavyweight,Bronze
United States,1992,Summer,Athletics,Athletics Men's 110 metres Hurdles,Bronze
Italy,1932,Summer,Weightlifting,Weightlifting Men's Lightweight,Bronze
United States,2016,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
Greece,1896,Summer,Fencing,"Fencing Men's Foil, Individual",Bronze
Cuba,2000,Summer,Baseball,Baseball Men's Baseball,Silver
Belgium,1920,Summer,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Bronze
Netherlands,1964,Summer,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold
Canada,2014,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Italy,1928,Summer,Football,Football Men's Football,Bronze
France,1976,Summer,Fencing,"Fencing Men's Foil, Team",Bronze
France,1980,Summer,Fencing,"Fencing Men's Foil, Team",Gold
France,1984,Summer,Fencing,"Fencing Men's Foil, Team",Bronze
Poland,1976,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
Poland,1956,Summer,Boxing,Boxing Men's Light-Middleweight,Bronze
Poland,1960,Summer,Boxing,Boxing Men's Light-Heavyweight,Silver
Poland,1964,Summer,Boxing,Boxing Men's Light-Heavyweight,Bronze
East Germany,1972,Summer,Volleyball,Volleyball Men's Volleyball,Silver
East Germany-1,1984,Winter,Luge,Luge Mixed (Men)'s Doubles,Bronze
East Germany-1,1988,Winter,Luge,Luge Mixed (Men)'s Doubles,Gold
Italy,1956,Summer,Weightlifting,Weightlifting Men's Heavyweight,Bronze
Italy,1956,Summer,Weightlifting,Weightlifting Men's Middleweight,Bronze
Italy,1972,Summer,Athletics,"Athletics Women's 1,500 metres",Bronze
Hungary,2000,Summer,Handball,Handball Women's Handball,Silver
Italy,1928,Summer,Fencing,"Fencing Men's Foil, Team",Gold
Italy,1932,Summer,Fencing,"Fencing Men's Foil, Team",Silver
Italy,1932,Summer,Fencing,"Fencing Men's Sabre, Team",Silver
Australia,1976,Summer,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
Finland,1932,Summer,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
Finland,1936,Summer,Wrestling,"Wrestling Men's Lightweight, Freestyle",Bronze
Finland,1924,Summer,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold
Finland,1928,Summer,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
Finland,1936,Summer,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
Finland,2014,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Finland,2010,Winter,Snowboarding,Snowboarding Men's Halfpipe,Silver
Serbia,2008,Summer,Water Polo,Water Polo Men's Water Polo,Bronze
Serbia,2012,Summer,Water Polo,Water Polo Men's Water Polo,Bronze
Serbia,2016,Summer,Water Polo,Water Polo Men's Water Polo,Gold
Serbia,2012,Summer,Water Polo,Water Polo Men's Water Polo,Bronze
Serbia,2016,Summer,Water Polo,Water Polo Men's Water Polo,Gold
Netherlands,1968,Summer,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold
Netherlands,1928,Summer,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
Great Britain-1,1908,Summer,Shooting,"Shooting Men's Trap, Team",Gold
United States,1912,Summer,Cycling,"Cycling Men's Road Race, Team",Bronze
Soviet Union,1976,Summer,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold
United States,2014,Winter,Skeleton,Skeleton Women's Skeleton,Silver
Poland,1960,Winter,Speed Skating,"Speed Skating Women's 1,500 metres",Bronze
New York Athletic Club,1904,Summer,Athletics,"Athletics Men's 4 mile, Team",Gold
United States,1906,Summer,Athletics,Athletics Men's 400 metres,Gold
United States,1906,Summer,Athletics,Athletics Men's 800 metres,Gold
Soviet Union,1972,Summer,Football,Football Men's Football,Bronze
Soviet Union,1980,Summer,Football,Football Men's Football,Bronze
Hungary,1932,Summer,Fencing,"Fencing Men's Sabre, Individual",Gold
Hungary,1932,Summer,Fencing,"Fencing Men's Sabre, Team",Gold
Italy,2002,Winter,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver
Italy,2006,Winter,Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon,Bronze
Italy,2006,Winter,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
Italy,2010,Winter,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,Silver
France,2000,Summer,Fencing,"Fencing Men's Sabre, Team",Silver
France,2004,Summer,Fencing,"Fencing Men's Sabre, Team",Gold
France,2008,Summer,Fencing,"Fencing Men's Sabre, Team",Gold
France,1984,Summer,Sailing,Sailing Mixed Two Person Dinghy,Bronze
France,1988,Summer,Sailing,Sailing Men's Two Person Dinghy,Gold
Denmark,1948,Summer,Football,Football Men's Football,Bronze
"Large boat, Central Naval Prep School ""Poros""-1",1906,Summer,Rowing,Rowing Men's 17-Man Naval Rowing Boats,Gold
Russia,1996,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
Soviet Union,1980,Summer,Rowing,Rowing Men's Coxless Pairs,Silver
Soviet Union,1980,Summer,Rowing,Rowing Men's Coxless Pairs,Silver
Portugal,2012,Summer,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
Great Britain,1908,Summer,Shooting,"Shooting Men's Small-Bore Rifle, 50 and 100 yards, Team",Gold
Great Britain,1912,Summer,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres, Team",Gold
Great Britain,1912,Summer,Shooting,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres, Team",Silver
Venezuela,1980,Summer,Boxing,Boxing Men's Bantamweight,Silver
Italy,1952,Summer,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Bronze
Italy,1956,Summer,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Bronze
Belgium,1920,Summer,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Bronze
Bahamas,2012,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
Canada,1968,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Canada,1968,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Thessalonki-1,1906,Summer,Football,Football Men's Football,Bronze
Australia,2000,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
Australia,2000,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
Australia,2008,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
France,2016,Summer,Handball,Handball Women's Handball,Silver
Argentina,1996,Summer,Football,Football Men's Football,Silver
Spain,2012,Summer,Handball,Handball Women's Handball,Bronze
Tornado,1960,Summer,Sailing,Sailing Mixed Two Person Keelboat,Gold
Brazil,1984,Summer,Football,Football Men's Football,Silver
Germany,1992,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
Germany,1996,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
Soviet Union,1976,Summer,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold
Soviet Union,1988,Summer,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
Spain,1992,Summer,Football,Football Men's Football,Gold
United States,1956,Summer,Shooting,"Shooting Men's Free Pistol, 50 metres",Bronze
United States,1920,Summer,Diving,Diving Men's Springboard,Silver
United States,1920,Summer,Diving,Diving Men's Platform,Gold
United States,1924,Summer,Diving,Diving Men's Springboard,Bronze
United States,1924,Summer,Diving,Diving Men's Platform,Bronze
India,1928,Summer,Hockey,Hockey Men's Hockey,Gold
India,1932,Summer,Hockey,Hockey Men's Hockey,Gold
Great Britain,1992,Summer,Rowing,Rowing Men's Coxless Pairs,Gold
Great Britain,1996,Summer,Rowing,Rowing Men's Coxless Pairs,Gold
Great Britain,2000,Summer,Rowing,Rowing Men's Coxless Fours,Gold
Great Britain,2004,Summer,Rowing,Rowing Men's Coxless Fours,Gold
Soviet Union,1980,Summer,Rowing,Rowing Men's Coxed Eights,Bronze
Belgium,1920,Summer,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Bronze
Italy,1964,Summer,Boxing,Boxing Men's Light-Heavyweight,Gold
India,1948,Summer,Hockey,Hockey Men's Hockey,Gold
Italy,1936,Summer,Fencing,"Fencing Men's Sabre, Team",Silver
Italy,1948,Summer,Fencing,"Fencing Men's Sabre, Individual",Silver
Italy,1948,Summer,Fencing,"Fencing Men's Sabre, Team",Silver
Italy,1952,Summer,Fencing,"Fencing Men's Sabre, Team",Silver
France,2014,Winter,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Bronze
Italy,2004,Summer,Football,Football Men's Football,Bronze
France,1924,Summer,Rowing,Rowing Men's Coxless Pairs,Silver
France,1932,Summer,Fencing,"Fencing Men's Foil, Team",Gold
France,1932,Summer,Fencing,"Fencing Men's epee, Team",Gold
France,1952,Summer,Fencing,"Fencing Men's Sabre, Team",Bronze
United States,2004,Summer,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
Canada,2002,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
Canada,2006,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
Canada,2010,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
Australia,1964,Summer,Hockey,Hockey Men's Hockey,Bronze
Australia,1968,Summer,Hockey,Hockey Men's Hockey,Silver
United States,1936,Summer,Basketball,Basketball Men's Basketball,Gold
Romania,1992,Summer,Rowing,Rowing Women's Quadruple Sculls,Silver
Romania,1996,Summer,Rowing,Rowing Women's Lightweight Double Sculls,Gold
Romania,2000,Summer,Rowing,Rowing Women's Lightweight Double Sculls,Gold
Romania,2004,Summer,Rowing,Rowing Women's Lightweight Double Sculls,Gold
Romania,2008,Summer,Rowing,Rowing Women's Coxed Eights,Bronze
United States,1992,Summer,Basketball,Basketball Men's Basketball,Gold
United States,1996,Summer,Basketball,Basketball Men's Basketball,Gold
Italy,2004,Summer,Volleyball,Volleyball Men's Volleyball,Silver
United States,1952,Summer,Basketball,Basketball Men's Basketball,Gold
France,1964,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
France,1968,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
France,1924,Summer,Rugby,Rugby Men's Rugby,Silver
France,1920,Summer,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Great Britain,1956,Summer,Athletics,"Athletics Men's 5,000 metres",Silver
Margaret,1948,Summer,Sailing,Sailing Mixed Two Person Keelboat,Bronze
Turkey,1992,Summer,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Gold
Turkey,1996,Summer,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Bronze
Uruguay,1928,Summer,Football,Football Men's Football,Gold
Italy,2004,Summer,Football,Football Men's Football,Bronze
Belgium,1920,Summer,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Bronze
Germany,1936,Summer,Rowing,Rowing Men's Double Sculls,Silver
Romania,1960,Summer,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Gold
Romania,1964,Summer,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Bronze
Italy,1908,Summer,Fencing,"Fencing Men's Sabre, Team",Silver
Australia,1988,Summer,Hockey,Hockey Women's Hockey,Gold
Soviet Union,1956,Summer,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Silver
Soviet Union,1956,Summer,Athletics,Athletics Women's High Jump,Silver
Russia,2004,Summer,Weightlifting,Weightlifting Men's Heavyweight,Bronze
Russia,2012,Summer,Athletics,Athletics Women's Discus Throw,Silver
Germany,1928,Summer,Boxing,Boxing Men's Light-Heavyweight,Silver
Poland,1972,Summer,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Bronze
Great Britain,1924,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Finland,2008,Summer,Athletics,Athletics Men's Javelin Throw,Bronze
Finland,2010,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Finland,1976,Winter,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
Finland,1980,Winter,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Bronze
Finland,1956,Summer,Rowing,Rowing Men's Coxed Fours,Bronze
Finland,1960,Summer,Rowing,Rowing Men's Coxless Pairs,Bronze
"New College, Oxford-2",1912,Summer,Rowing,Rowing Men's Coxed Eights,Silver
United States,1960,Winter,Alpine Skiing,Alpine Skiing Women's Downhill,Silver
United States,1960,Winter,Alpine Skiing,Alpine Skiing Women's Giant Slalom,Silver
United States,1964,Summer,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
Italy,2010,Winter,Nordic Combined,"Nordic Combined Men's Normal Hill / 10 km, Individual",Bronze
Italy,1928,Summer,Football,Football Men's Football,Bronze
United States,1948,Summer,Basketball,Basketball Men's Basketball,Gold
Chile,2000,Summer,Football,Football Men's Football,Bronze
Italy,1956,Summer,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
Italy,1928,Summer,Gymnastics,Gymnastics Women's Team All-Around,Silver
Italy,1960,Summer,Water Polo,Water Polo Men's Water Polo,Gold
"Marinai della nave da guerra ""Varese""",1906,Summer,Rowing,Rowing Men's 17-Man Naval Rowing Boats,Bronze
Italy,2016,Summer,Fencing,"Fencing Men's epee, Team",Silver
Soviet Union,1972,Summer,Cycling,Cycling Men's Sprint,Bronze
United States,1984,Summer,Hockey,Hockey Women's Hockey,Bronze
Germany,1964,Summer,Rowing,Rowing Men's Coxed Eights,Silver
Italy-1,1972,Winter,Luge,Luge Mixed (Men)'s Doubles,Gold
Austria,1924,Winter,Figure Skating,Figure Skating Women's Singles,Gold
Austria,2004,Summer,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Bronze
Italy,1976,Winter,Alpine Skiing,Alpine Skiing Men's Downhill,Bronze
Italy-1,2006,Winter,Luge,Luge Mixed (Men)'s Doubles,Bronze
Mexico,2000,Summer,Diving,Diving Men's Springboard,Silver
Russia-1,1994,Winter,Figure Skating,Figure Skating Mixed Ice Dancing,Gold
Russia-1,1998,Winter,Figure Skating,Figure Skating Mixed Ice Dancing,Gold
United States,1924,Summer,Shooting,"Shooting Men's Trap, Team",Gold
Latvia-1,2012,Summer,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Bronze
Canada,1992,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
Canada,1928,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Canada,1928,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Canada,1928,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Australia,1968,Summer,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
Spain,1992,Summer,Athletics,Athletics Men's 20 kilometres Walk,Gold
Chile,1928,Summer,Athletics,Athletics Men's Marathon,Silver
Italy,1932,Summer,Rowing,Rowing Men's Coxed Fours,Silver
France,1920,Summer,Rowing,Rowing Men's Double Sculls,Bronze
Yugoslavia,1968,Summer,Basketball,Basketball Men's Basketball,Silver
Germany,1964,Winter,Luge,Luge Men's Singles,Bronze
Romania,1984,Summer,Rowing,Rowing Women's Coxed Eights,Silver
Soviet Union,1980,Summer,Hockey,Hockey Men's Hockey,Bronze
Soviet Union,1980,Summer,Hockey,Hockey Men's Hockey,Bronze
Netherlands,1996,Summer,Hockey,Hockey Women's Hockey,Bronze
Individual Olympic Athletes,1992,Summer,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Bronze
Belgium,1908,Summer,Water Polo,Water Polo Men's Water Polo,Silver
Belgium,1912,Summer,Water Polo,Water Polo Men's Water Polo,Bronze
Belgium,1920,Summer,Water Polo,Water Polo Men's Water Polo,Silver
Belgium,1924,Summer,Water Polo,Water Polo Men's Water Polo,Silver
France,1988,Summer,Swimming,Swimming Women's 100 metres Freestyle,Bronze
France,1992,Summer,Swimming,Swimming Women's 100 metres Butterfly,Bronze
Czechoslovakia,1984,Winter,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",Bronze
Czechoslovakia,1988,Winter,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",Silver
East Germany,1980,Summer,Rowing,Rowing Women's Coxed Quadruple Sculls,Gold
Denmark,1948,Summer,Football,Football Men's Football,Bronze
West Germany,1984,Summer,Athletics,Athletics Men's Hammer Throw,Bronze
Australia,1956,Summer,Cycling,Cycling Men's Sprint,Bronze
Germany,2016,Summer,Sailing,Sailing Men's Skiff,Bronze
Russia,2004,Summer,Volleyball,Volleyball Women's Volleyball,Silver
West Germany,1972,Summer,Rowing,Rowing Men's Coxless Fours,Bronze
United States,1964,Summer,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
United States,1968,Summer,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
United States,1972,Summer,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
United States,1976,Summer,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver
United States,1976,Summer,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
United States,1984,Summer,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
France,1996,Summer,Fencing,"Fencing Men's Foil, Individual",Silver
France,2000,Summer,Fencing,"Fencing Men's Foil, Team",Gold
United States,2016,Summer,Swimming,Swimming Men's 100 metres Backstroke,Bronze
United States,2016,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
Belgium,1920,Summer,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Bronze
Soviet Union,1964,Summer,Weightlifting,Weightlifting Men's Light-Heavyweight,Gold
Russia,2002,Winter,Figure Skating,Figure Skating Men's Singles,Silver
Russia,2006,Winter,Figure Skating,Figure Skating Men's Singles,Gold
Russia,2010,Winter,Figure Skating,Figure Skating Men's Singles,Silver
Russia,2014,Winter,Figure Skating,Figure Skating Mixed Team,Gold
United States,1904,Summer,Athletics,Athletics Men's 200 metres Hurdles,Bronze
United States,1904,Summer,Athletics,Athletics Men's 400 metres Hurdles,Bronze
Soviet Union,1980,Summer,Athletics,Athletics Men's 20 kilometres Walk,Silver
Hungary,1964,Summer,Water Polo,Water Polo Men's Water Polo,Gold
Hungary,1968,Summer,Water Polo,Water Polo Men's Water Polo,Bronze
Hungary,1972,Summer,Water Polo,Water Polo Men's Water Polo,Silver
Canada,1980,Winter,Alpine Skiing,Alpine Skiing Men's Downhill,Bronze
Argentina,1936,Summer,Rowing,Rowing Men's Coxless Pairs,Bronze
Russia,1996,Summer,Gymnastics,Gymnastics Men's Team All-Around,Gold
Russia,2000,Summer,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Austria,1936,Summer,Equestrianism,"Equestrianism Men's Dressage, Individual",Bronze
Czechoslovakia,1980,Summer,Hockey,Hockey Women's Hockey,Silver
Canada,1994,Winter,Alpine Skiing,Alpine Skiing Men's Downhill,Bronze
Ukraine,1996,Summer,Gymnastics,Gymnastics Women's Individual All-Around,Gold
Ukraine,1996,Summer,Gymnastics,Gymnastics Women's Floor Exercise,Gold
Ukraine,1996,Summer,Gymnastics,Gymnastics Women's Balance Beam,Silver
Switzerland,2014,Winter,Snowboarding,Snowboarding Men's Halfpipe,Gold
Poland,1976,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
West Germany,1968,Summer,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
Kazakhstan,2012,Summer,Weightlifting,Weightlifting Women's Heavyweight,Gold
Germany,2004,Summer,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
Switzerland,1976,Summer,Fencing,"Fencing Men's epee, Team",Bronze
Italia,1936,Summer,Sailing,Sailing Mixed 8 metres,Gold
Italia,1936,Summer,Sailing,Sailing Mixed 8 metres,Gold
France,2012,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
Russia,2000,Summer,Handball,Handball Men's Handball,Gold
Russia,2004,Summer,Handball,Handball Men's Handball,Bronze
Soviet Union,1980,Summer,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
Finland,1908,Summer,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Finland,1908,Summer,Gymnastics,Gymnastics Men's Team All-Around,Bronze
West Germany,1988,Winter,Nordic Combined,Nordic Combined Men's Team,Gold
Germany,1956,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
Germany,2004,Summer,Football,Football Women's Football,Bronze
Germany,2008,Summer,Football,Football Women's Football,Bronze
Germany,1936,Summer,Gymnastics,Gymnastics Women's Team All-Around,Gold
Soviet Union,1988,Summer,Fencing,"Fencing Men's Sabre, Team",Silver
Unified Team,1992,Summer,Fencing,"Fencing Men's Sabre, Team",Gold
Soviet Union,1964,Summer,Volleyball,Volleyball Men's Volleyball,Gold
Soviet Union,1968,Summer,Volleyball,Volleyball Men's Volleyball,Gold
Soviet Union,1972,Summer,Volleyball,Volleyball Men's Volleyball,Bronze
Finland,1980,Summer,Archery,Archery Men's Individual,Gold
Finland,1992,Summer,Archery,Archery Men's Team,Silver
France,1936,Summer,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold
France,2002,Winter,Biathlon,Biathlon Men's 12.5 kilometres Pursuit,Silver
France,2002,Winter,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Bronze
France,2006,Winter,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Bronze
France,1984,Summer,Swimming,Swimming Women's 100 metres Breaststroke,Bronze
Russia,2012,Summer,Athletics,Athletics Women's 800 metres,Bronze
France,1920,Summer,Rowing,Rowing Men's Coxed Pairs,Silver
Czechoslovakia,1960,Summer,Rowing,Rowing Men's Coxed Eights,Bronze
Czechoslovakia,1964,Summer,Rowing,Rowing Men's Coxed Eights,Bronze
Hungary,1948,Summer,Water Polo,Water Polo Men's Water Polo,Silver
Czechoslovakia,1980,Summer,Football,Football Men's Football,Gold
Czechoslovakia,1980,Summer,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
Czechoslovakia,1948,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
Yugoslavia,1972,Summer,Handball,Handball Men's Handball,Gold
Netherlands,1928,Summer,Gymnastics,Gymnastics Women's Team All-Around,Gold
Turkey,2004,Summer,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Bronze
Greece,2000,Summer,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Bronze
Slovenia,2008,Summer,Judo,Judo Women's Heavyweight,Bronze
Germany,2004,Summer,Swimming,Swimming Women's 200 metres Breaststroke,Bronze
East Germany,1976,Summer,Rowing,Rowing Women's Coxed Quadruple Sculls,Gold
Italy,1984,Summer,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold
Bucintoro Venezia,1906,Summer,Rowing,Rowing Men's Coxed Fours,Gold
Italy,1988,Summer,Rowing,Rowing Men's Quadruple Sculls,Gold
Czechoslovakia,1980,Summer,Weightlifting,Weightlifting Men's Light-Heavyweight,Bronze
Yugoslavia,1980,Summer,Water Polo,Water Polo Men's Water Polo,Silver
Italy,1992,Winter,Alpine Skiing,Alpine Skiing Men's Combined,Gold
Soviet Union,1976,Summer,Volleyball,Volleyball Men's Volleyball,Silver
Russia,2008,Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
East Germany,1980,Summer,Swimming,Swimming Women's 200 metres Backstroke,Silver
Italy,1952,Summer,Water Polo,Water Polo Men's Water Polo,Bronze
Yugoslavia,1968,Summer,Water Polo,Water Polo Men's Water Polo,Gold
Soviet Union,1980,Summer,Sailing,Sailing Mixed Three Person Keelboat,Silver
United States,2016,Summer,Rowing,Rowing Women's Coxed Eights,Gold
Netherlands,2008,Summer,Hockey,Hockey Women's Hockey,Gold
Netherlands,2012,Summer,Hockey,Hockey Women's Hockey,Gold
Finland,1956,Winter,Cross Country Skiing,Cross Country Skiing Women's 3 x 5 kilometres Relay,Gold
Costa Rica,1996,Summer,Swimming,Swimming Women's 200 metres Freestyle,Gold
Costa Rica,2000,Summer,Swimming,Swimming Women's 200 metres Freestyle,Bronze
Costa Rica,2000,Summer,Swimming,Swimming Women's 400 metres Freestyle,Bronze
Costa Rica,1988,Summer,Swimming,Swimming Women's 200 metres Freestyle,Silver
East Germany,1976,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
East Germany,1976,Summer,Swimming,Swimming Women's 100 metres Butterfly,Silver
East Germany,1976,Summer,Swimming,Swimming Women's 200 metres Butterfly,Gold
East Germany,1976,Summer,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
East Germany,1980,Summer,Swimming,Swimming Women's 100 metres Butterfly,Silver
East Germany,1980,Summer,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
Germany,2000,Summer,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
Germany,1936,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
East Germany,1972,Summer,Athletics,Athletics Women's Pentathlon,Bronze
East Germany,1976,Summer,Athletics,Athletics Women's Pentathlon,Bronze
United States,1936,Summer,Athletics,Athletics Men's 110 metres Hurdles,Bronze
Germany,1936,Summer,Equestrianism,"Equestrianism Men's Dressage, Individual",Gold
Germany,1936,Summer,Equestrianism,"Equestrianism Men's Dressage, Team",Gold
Germany,1952,Summer,Equestrianism,"Equestrianism Mixed Dressage, Team",Bronze
Norway,1988,Summer,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Silver
Czechoslovakia,1992,Summer,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Gold
Czech Republic,1996,Summer,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Silver
France,1920,Summer,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Italy,1980,Summer,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",Gold
Switzerland,1924,Summer,Football,Football Men's Football,Silver
United States,1904,Summer,Archery,Archery Women's Double Columbia Round,Bronze
United States,1904,Summer,Archery,Archery Women's Double National Round,Bronze
Cincinnati Archers,1904,Summer,Archery,Archery Women's Team Round,Gold
Canada,1952,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Italy,1960,Summer,Gymnastics,Gymnastics Men's Team All-Around,Bronze
United States,2006,Winter,Curling,Curling Men's Curling,Bronze
Thailand,2004,Summer,Weightlifting,Weightlifting Women's Featherweight,Gold
Russia,2008,Summer,Volleyball,Volleyball Men's Volleyball,Bronze
Switzerland,1948,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Switzerland,1948,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Belarus,2012,Summer,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Bronze
Belarus,2016,Summer,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Bronze
Russia,2008,Summer,Handball,Handball Women's Handball,Silver
Soviet Union,1968,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Hungary,1952,Summer,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Silver
Hungary,1956,Summer,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Silver
